panel_id,smiles,valid,mw,logp,tpsa,hbd,hba,rotb,qed,sa_score,heavy_atom_count,design_intent
BRAF-B-001,O=C(NCCO)c1ccccc1,True,165.192,0.409,49.33,2,2,3,0.681,1.340,12,原始Top1；保留苯甲酰乙醇胺骨架
BRAF-B-002,NC(=O)c1ccccc1,True,121.139,0.786,43.09,1,1,1,0.586,1.160,9,去掉乙醇侧链；小分子酰胺对照
BRAF-B-003,O=C(O)c1ccccc1,True,122.123,1.385,37.30,1,1,1,0.611,1.050,9,羧酸对照；更强极性和酸性
BRAF-B-004,O=C(NCCO)c1ccc(F)cc1,True,183.182,0.548,49.33,2,2,3,0.718,1.450,13,对位氟取代；轻微电子效应
BRAF-B-005,O=C(NCCO)c1ccc(Cl)cc1,True,199.637,1.062,49.33,2,2,3,0.765,1.440,13,对位氯取代；提高疏水性和体积
BRAF-B-006,Cc1ccc(C(=O)NCCO)cc1,True,179.219,0.717,49.33,2,2,3,0.718,1.420,13,对位甲基取代；轻度提高疏水性
BRAF-B-007,COc1ccc(C(=O)NCCO)cc1,True,195.218,0.417,58.56,2,3,4,0.732,1.420,14,对位甲氧基取代；增加受体特征
BRAF-B-008,N#Cc1ccc(C(=O)NCCO)cc1,True,190.202,0.280,73.12,2,3,3,0.719,1.710,14,对位氰基取代；增加极性受体
BRAF-B-009,O=C(NCCO)c1ccc(C(F)(F)F)cc1,True,233.189,1.428,49.33,2,2,3,0.829,1.690,16,对位三氟甲基取代；显著提高疏水性
BRAF-B-010,O=C(N(CCO)CC)c1ccccc1,True,193.246,1.141,40.54,1,2,4,0.779,1.630,14,二级胺侧链替换；减少HBD
BRAF-B-011,CCOC(=O)c1ccc(F)cc1,True,168.167,2.002,26.30,0,2,2,0.631,1.270,12,酯类对照；来自当前Top10
BRAF-B-012,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(SCC(=O)O)cc23)c1F,True,469.491,3.401,129.22,3,6,9,0.324,2.890,31,复杂Top2；高分但性质压力较大

